dataset,transforms,acc_mean,acc_std,f1_mean,rocket_time_mean,clf_fit_time_mean,clf_pred_time_mean,combo_total_time,dataset_total_time
FaceAll,TIME+DWT+DCT+HLB+DT1,0.9877120315581855,0.010658208456311094,0.9770615704303024,0.6808890755971273,0.5774879058202108,0.39367107550303143,70.14934086799622,70.24810528755188
FaceFour,TIME+DWT+DCT+HLB+DT1,0.9087121212121211,0.04634388814912594,0.9102649914128591,0.13865671475728353,0.031862918535868326,0.021631503105163576,8.147632598876953,8.173358917236328
FacesUCR,TIME+DWT+DCT+HLB+DT1,0.9665365853658535,0.0063870779720323605,0.9541572298479678,0.6656044054031371,0.179936154683431,0.4986621618270874,60.27354145050049,60.38364219665527
FiftyWords,TIME+DWT+DCT+HLB+DT1,0.8312820512820515,0.010762251357759347,0.7215791658801295,0.5068113183975219,0.44344543615976967,0.12478734652201334,40.89730143547058,40.976722717285156
Fish,TIME+DWT+DCT+HLB+DT1,0.9769523809523811,0.010688752645027203,0.9767637196040405,0.32679119745890295,0.15791304111480714,0.042789522806803384,20.201967239379883,20.252695083618164
FordA,TIME+DWT+DCT+HLB+DT1,0.9788636363636364,0.003676909892909459,0.9788377113921118,3.733637156486511,9.130635913213094,0.3295643965403239,438.1961224079132,441.1387073993683
FordB,TIME+DWT+DCT+HLB+DT1,0.9323045267489714,0.020839670326166154,0.9322849554416355,3.3879103310902914,9.344709475835165,0.21653642654418945,424.9252288341522,426.7970860004425
FreezerRegularTrain,TIME+DWT+DCT+HLB+DT1,0.9990877192982457,0.0005405483044814813,0.9990877184976378,1.5659073289235432,0.14203866322835287,0.6585684696833293,95.99694561958313,96.51287150382996
FreezerSmallTrain,TIME+DWT+DCT+HLB+DT1,0.9776959064327486,0.020186406036743577,0.9776688632603981,1.5143085940678915,0.027451531092325846,0.6815548181533814,90.29117608070374,90.51216149330139
GunPoint,TIME+DWT+DCT+HLB+DT1,0.9902222222222222,0.0061423444271489856,0.9902203046324448,0.12125073273976643,0.05327175458272298,0.04080495039621989,9.309463262557983,9.340819120407104
GunPointAgeSpan,TIME+DWT+DCT+HLB+DT1,0.9944092827004218,0.005081936485420208,0.9944079119427836,0.20320963064829506,0.12197235425313314,0.07771271069844564,16.96244478225708,17.011536121368408
GunPointMaleVersusFemale,TIME+DWT+DCT+HLB+DT1,0.9998945147679325,0.0005680553594023769,0.9998942085898608,0.20277148723602295,0.12390921115875245,0.0744861920674642,16.97453236579895,17.008116722106934
GunPointOldVersusYoung,TIME+DWT+DCT+HLB+DT1,1.0,0.0,1.0,0.20380300680796304,0.12376892566680908,0.07633423805236816,17.049299240112305,17.08632254600525
Ham,TIME+DWT+DCT+HLB+DT1,0.8393650793650794,0.03578159442185491,0.8388791164018408,0.22365678310394288,0.10426949659983317,0.025742077827453615,13.637203693389893,13.680164098739624
HandOutlines,TIME+DWT+DCT+HLB+DT1,0.9471171171171171,0.010413494769083917,0.941557329729223,5.388752719561259,1.0859881480534872,0.0898392120997111,214.90488600730896,215.54411554336548
Haptics,TIME+DWT+DCT+HLB+DT1,0.5365800865800865,0.020939810547098876,0.520528295678932,0.8001532618204752,0.1416064977645874,0.07014962832132975,38.58967447280884,39.00509190559387
Herring,TIME+DWT+DCT+HLB+DT1,0.625,0.046875,0.6042188950142865,0.17315560181935624,0.06428215503692628,0.015126927693684896,10.115580320358276,10.231858253479004
HouseTwenty,TIME+DWT+DCT+HLB+DT1,0.9641456582633053,0.013881805818895086,0.9630923843497367,0.5990115722020467,0.03693149089813232,0.028453874588012695,25.942777633666992,26.085742950439453
InlineSkate,TIME+DWT+DCT+HLB+DT1,0.5656969696969697,0.02551824641130681,0.5813773620506986,1.8573708470662431,0.09038756688435873,0.13070917129516602,72.1617431640625,72.41055631637573
InsectEPGRegularTrain,TIME+DWT+DCT+HLB+DT1,0.9994645247657296,0.002883622386685139,0.9992395216533148,0.3682173744837443,0.05928198496500651,0.06157933076222737,21.555697202682495,21.63080620765686
InsectEPGSmallTrain,TIME+DWT+DCT+HLB+DT1,0.9769745649263721,0.028641668798535653,0.9700547179119833,0.3257387018203735,0.02004570166269938,0.0604495366414388,18.45599865913391,18.50750207901001
